Default max. CPC,Campaign,Ad group,Labels,Target ROAS,Target CPA,Customer ID,Campaign ID,Ad group ID,Clicks,Impressions,Cost,CTR,Avg. CPC,Avg. position,Impr. (Top) %,Impr. (Abs. Top) %,Conversions,All conv.,All conv. value,All conv. rate,Total conv. value,View-through conv.,Conv. rate,Value / conv.,Value / all conv.,Cost / all conv.,Cost / conv.,Click Assisted Conv.,Impr. Assisted Conv.,Search Exact match IS,Search Impr. share,Search Lost IS (rank),Content Impr. share,Search abs. top IS,Search top IS,Search lost top IS (rank),Search lost abs. top IS (rank)
auto: 1000000,Sales-Search-1,Earth to Mars Cruises #e608d811-addc-49c8-a342-1753b2a8671d, --, --, --,7555559366,2030792152,70054921337,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0.00,0,0,0,0, --, --, --, --, --,0.00,0.00,0.00
auto: 1000000,Sales-Search-1,Earth to Mars Cruises #60e2c1fb-0640-4779-a779-7469314352d2, --, --, --,7555559366,2030792152,70055223337,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0.00,0,0,0,0, --, --, --, --, --,0.00,0.00,0.00
auto: 1000000,Sales-Search-1,Earth to Venus Cruises #86765496-b8a1-4d13-909e-1b7521f4f976, --, --, --,7555559366,2030792152,70055223497,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0.00,0,0,0,0, --, --, --, --, --,0.00,0.00,0.00
auto: 1000000,Sales-Search-1,Earth to Mars Cruises #72ac13b7-83d4-4ae5-9c1d-a66c0dd18af8, --, --, --,7555559366,2030792152,70699090983,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0.00,0,0,0,0, --, --, --, --, --,0.00,0.00,0.00
auto: 1000000,Sales-Search-1,Earth to Mars Cruises #523b6689-9d0a-49c5-bfa5-9d0be59a568e, --, --, --,7555559366,2030792152,70886738326,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0.00,0,0,0,0, --, --, --, --, --,0.00,0.00,0.00
auto: 1000000,Sales-Search-1,Earth to Mars Cruises #8525eb9b-68fc-4bee-9a3a-1d3b5cdaf828, --, --, --,7555559366,2030792152,70886794966,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0.00,0,0,0,0, --, --, --, --, --,0.00,0.00,0.00
auto: 1000000,Sales-Search-1,Earth to Venus Cruises #b83a5b9a-c9ea-4b94-826f-c021b207a9ad, --, --, --,7555559366,2030792152,70886795006,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0.00,0,0,0,0, --, --, --, --, --,0.00,0.00,0.00
auto: 1000000,Sales-Search-1,Earth to Mars Cruises #4bb4ca29-aef3-4c79-9cc2-29e39642877e, --, --, --,7555559366,2030792152,70886795686,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0.00,0,0,0,0, --, --, --, --, --,0.00,0.00,0.00
auto: 1000000,Sales-Search-1,Earth to Venus Cruises #3fee2047-1fce-4daf-8c88-601fadce6a56, --, --, --,7555559366,2030792152,70886795726,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0.00,0,0,0,0, --, --, --, --, --,0.00,0.00,0.00
auto: 1000000,Sales-Search-1,Earth to Mars Cruises #71130121-ca52-454f-9e05-1d1df4527661, --, --, --,7555559366,2030792152,71083522799,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0.00,0,0,0,0, --, --, --, --, --,0.00,0.00,0.00
