Campaign ID,Campaign,Labels,Label IDs,Customer ID,Bid Strategy Type,Advertising Channel,Clicks,Impressions,Cost,CTR,Avg. CPC,Avg. position,Impr. (Top) %,Impr. (Abs. Top) %,Conversions,All conv.,All conv. value,All conv. rate,Total conv. value,View-through conv.,Conv. rate,Value / conv.,Value / all conv.,Cost / all conv.,Cost / conv.,Target ROAS (Maximize Conversion Value),Click Assisted Conv.,Impr. Assisted Conv.,Search Exact match IS,Search Impr. share,Search Lost IS (rank),Search Lost IS (budget),Content Lost IS (budget),Content Lost IS (rank),Content Impr. share,Search abs. top IS,Click share,Search top IS,Search lost top IS (rank),Search lost abs. top IS (rank)
2030499764,Interplanetary Cruise #3c5e88e6-252f-434f-9d4b-d4588ce81733, --, --,7555559366,cpc,Search,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0.00,0,0,0.00,0,0, --, --, --, --, --, --, --, --, --,0.00,0.00,0.00
2034602044,Added another campaign#299cb5d8-4e92-4a7d-a485-8dc796128bf2, --, --,7555559366,cpc,Display,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0.00,0,0,0.00,0,0, --, --, --, --, --, --, --, --, --,0.00,0.00,0.00
2035020705,Interplanetary Cruise #2ba8f693-39a8-4ee7-bf1d-ff3328d9df8f, --, --,7555559366,cpc,Search,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0.00,0,0,0.00,0,0, --, --, --, --, --, --, --, --, --,0.00,0.00,0.00
2035020708,Added another campaign#5893b162-086d-4d97-b88d-7f2acfa4298c, --, --,7555559366,cpc,Display,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0.00,0,0,0.00,0,0, --, --, --, --, --, --, --, --, --,0.00,0.00,0.00
2041844805,Test campaign, --, --,7555559366,cpc,Display,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0.00,0,0,0.00,0,0, --, --, --, --, --, --, --, --, --,0.00,0.00,0.00
2042967498,Test-2, --, --,7555559366,cpc,Search,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0.00,0,0,0.00,0,0, --, --, --, --, --, --, --, --, --,0.00,0.00,0.00
2062352843,Samad campaign #9d0f0c78-b083-4d2d-80c5-c96f085e7759, --, --,7555559366,cpc,Search,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0.00,0,0,0.00,0,0, --, --, --, --, --, --, --, --, --,0.00,0.00,0.00
2064824291,CREATIVE CAMP, --, --,7555559366,cpc,Search,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0.00,0,0,0.00,0,0, --, --, --, --, --, --, --, --, --,0.00,0.00,0.00
2065466796,Search-15, --, --,7555559366,Maximize clicks,Search,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0.00,0,0,0.00,0,0, --, --, --, --, --, --, --, --, --,0.00,0.00,0.00
2065539733,CREATIVE CAMP44, --, --,7555559366,cpc,Search,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0.00,0,0,0.00,0,0, --, --, --, --, --, --, --, --, --,0.00,0.00,0.00
